M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   after  CDC :: Setting stack size 200000000 for 4 multi-threaded checks.  Thread count reduced to 4. M=2464.32mb, Malloc-M=545mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   after  CDC :: Setup Checks analysis: M=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=1s CPU=0.3s W=(2026-06-14 21:38:18)
STATS:: |   |   before CDC :: SETUP_MULTIPLE_CONSTRAINTS: M=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:18)
STATS:: |   |   after  CDC :: SETUP_MULTIPLE_CONSTRAINTS: M=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0.01s W=(2026-06-14 21:38:18)
STATS:: |   after  CDC :: Setup Check (Rest): M=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=1s CPU=0.31s W=(2026-06-14 21:38:18)
STATS:: |   before CDC :: Check Safety Register: M=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:18)
STATS:: |   after  CDC :: Check Safety Register: M=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:18)
STATS:: |   before CDC :: ClockRelationMatrix Db PopulationM=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:18)
STATS:: |   after  CDC :: ClockRelationMatrix Db PopulationM=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:18)
STATS:: |   before CDC :: CDC Analyze Quasi Clocks M=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:18)
STATS:: |   after  CDC :: CDC Analyze Quasi Clocks M=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:18)
STATS:: |   before CDC :: Creating crossings: M=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:18)
STATS:: |   |   before CDC :: CDC User Path Ignore Path Constraints ProcessingM=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:18)
STATS:: |   |   after  CDC :: CDC User Path Ignore Path Constraints ProcessingM=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:18)
STATS:: |   |   before CDC :: Thread Job flow: M=2464.32mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:18)
STATS:: |   |   after  CDC :: Thread Job flow: M=2464.32mb, Malloc-M=552mb, Available-M=24383mb, T=1s CPU=0.09s W=(2026-06-14 21:38:19)
STATS:: |   after  CDC :: Creating crossings: M=2464.32mb, Malloc-M=552mb, Available-M=24383mb, T=1s CPU=0.09s W=(2026-06-14 21:38:19)
STATS:: |   before CDC :: Integrity, RESET :: Crossing analysis: M=2464.32mb, Malloc-M=552mb, Available-M=24383mb, T=0s CPU=0s W=(2026-06-14 21:38:19)
STATS:: |   |   before Add crossings to crossing manager job  Execution:M=2464.32mb, Malloc-M=553mb, Available-M=24382mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   |   |   before RESET :: Creating crossings Post Grid Job: M=2464.32mb, Malloc-M=553mb, Available-M=24382mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   |   |   after  RESET :: Creating crossings Post Grid Job: M=2464.32mb, Malloc-M=553mb, Available-M=24382mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   |   after  Add crossings to crossing manager job  Execution:M=2464.32mb, Malloc-M=553mb, Available-M=24382mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   after  CDC :: Integrity, RESET :: Crossing analysis: M=2464.32mb, Malloc-M=553mb, Available-M=24382mb, T=2s CPU=0.08s W=(2026-06-14 21:38:21)
STATS:: |   before CDC_RESET ::  Detecting Nff Phase-1: M=2464.32mb, Malloc-M=553mb, Available-M=24382mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   |   before CDC :: Detecting Nff Phase-1: , RESET :: Detecting Nff Phase-1:  analysis: M=2464.32mb, Malloc-M=553mb, Available-M=24382mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
STATS:: |   |   |   before RESET_SYNC_NFF_POST_GRID_JOB Execution:M=2464.32mb, Malloc-M=554mb, Available-M=24381mb, T=0s CPU=0s W=(2026-06-14 21:38:21)
