

### analyze	Num_calls 1	Total_time 1.50264	Total_CpuTime 0.31	Total malloc-M 2
1	File:run_lint.tcl::20	Time:1.50264	CpuTime:0.31	 Malloc-MB:2
76	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::157	Time:0.007951	CpuTime:0.01	 Malloc-MB:0
77	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::150	Time:0.007946	CpuTime:0.00	 Malloc-MB:0
78	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::138	Time:0.007943	CpuTime:0.01	 Malloc-MB:0
79	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::63	Time:0.00793	CpuTime:0.01	 Malloc-MB:0
80	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::147	Time:0.007929	CpuTime:0.01	 Malloc-MB:0
81	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::113	Time:0.007926	CpuTime:0.01	 Malloc-MB:0
82	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::64	Time:0.007905	CpuTime:0.01	 Malloc-MB:0
83	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::48	Time:0.007903	CpuTime:0.01	 Malloc-MB:0
84	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::24	Time:0.007854	CpuTime:0.01	 Malloc-MB:0
85	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::62	Time:0.00785	CpuTime:0.01	 Malloc-MB:0
86	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::170	Time:0.007815	CpuTime:0.01	 Malloc-MB:0
87	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::122	Time:0.007806	CpuTime:0.00	 Malloc-MB:0
88	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::121	Time:0.007792	CpuTime:0.01	 Malloc-MB:0
89	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::168	Time:0.007785	CpuTime:0.00	 Malloc-MB:0
90	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::53	Time:0.007772	CpuTime:0.00	 Malloc-MB:0
91	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::95	Time:0.007764	CpuTime:0.00	 Malloc-MB:0
92	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::6	Time:0.007757	CpuTime:0.01	 Malloc-MB:0
93	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::151	Time:0.00775	CpuTime:0.01	 Malloc-MB:0
94	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::8	Time:0.007747	CpuTime:0.01	 Malloc-MB:0
