

### analyze	Num_calls 1	Total_time 0.390147	Total_CpuTime 0.28	Total malloc-M 2
1	File:run_lint.tcl::20	Time:0.390147	CpuTime:0.28	 Malloc-MB:2
65	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::43	Time:0.008056	CpuTime:0.01	 Malloc-MB:0
66	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::140	Time:0.008054	CpuTime:0.01	 Malloc-MB:0
67	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::113	Time:0.008052	CpuTime:0.01	 Malloc-MB:0
68	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::132	Time:0.008041	CpuTime:0.01	 Malloc-MB:0
69	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::110	Time:0.008038	CpuTime:0.00	 Malloc-MB:0
70	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::160	Time:0.008033	CpuTime:0.01	 Malloc-MB:0
71	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::121	Time:0.008031	CpuTime:0.01	 Malloc-MB:0
72	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::64	Time:0.008016	CpuTime:0.01	 Malloc-MB:0
73	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::48	Time:0.008013	CpuTime:0.01	 Malloc-MB:0
74	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::109	Time:0.008007	CpuTime:0.01	 Malloc-MB:0
75	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::9	Time:0.007996	CpuTime:0.01	 Malloc-MB:0
76	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::144	Time:0.007988	CpuTime:0.01	 Malloc-MB:0
77	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::44	Time:0.007985	CpuTime:0.01	 Malloc-MB:0
78	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::59	Time:0.00797	CpuTime:0.01	 Malloc-MB:0
79	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::167	Time:0.00796	CpuTime:0.01	 Malloc-MB:0
80	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::111	Time:0.007959	CpuTime:0.01	 Malloc-MB:0
81	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::145	Time:0.007952	CpuTime:0.01	 Malloc-MB:0
82	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::68	Time:0.007938	CpuTime:0.01	 Malloc-MB:0
83	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::40	Time:0.007936	CpuTime:0.01	 Malloc-MB:0
84	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::104	Time:0.007926	CpuTime:0.01	 Malloc-MB:0
85	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::102	Time:0.00792	CpuTime:0.01	 Malloc-MB:0
86	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::147	Time:0.007917	CpuTime:0.01	 Malloc-MB:0
87	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::155	Time:0.007915	CpuTime:0.01	 Malloc-MB:0
88	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::120	Time:0.007913	CpuTime:0.01	 Malloc-MB:0
89	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::107	Time:0.007912	CpuTime:0.01	 Malloc-MB:0
90	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::91	Time:0.007893	CpuTime:0.00	 Malloc-MB:0
91	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::19	Time:0.007873	CpuTime:0.00	 Malloc-MB:0
92	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::168	Time:0.007861	CpuTime:0.01	 Malloc-MB:0
93	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::156	Time:0.007844	CpuTime:0.01	 Malloc-MB:0
94	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::153	Time:0.007839	CpuTime:0.01	 Malloc-MB:0
